Metal,Substrate,theta,Temp,Me_MagpieData mean Number,Me_MagpieData mean MendeleevNumber,Me_MagpieData mean AtomicWeight,Me_MagpieData mean MeltingT,Me_MagpieData mean Column,Me_MagpieData mean Row,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NsValence,Me_MagpieData mean NpValence,Me_MagpieData mean NdValence,Me_MagpieData mean NfValence,Me_MagpieData mean NValence,Me_MagpieData mean NsUnfilled,Me_MagpieData mean NpUnfilled,Me_MagpieData mean NdUnfilled,Me_MagpieData mean NUnfilled,Me_MagpieData mean GSvolume_pa,Me_MagpieData mean GSbandgap,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean Number,Ce_MagpieData mean MendeleevNumber,Ce_MagpieData mean AtomicWeight,Ce_MagpieData mean MeltingT,Ce_MagpieData mean Column,Ce_MagpieData mean Row,Ce_MagpieData mean CovalentRadius,Ce_MagpieData mean Electronegativity,Ce_MagpieData mean NsValence,Ce_MagpieData mean NpValence,Ce_MagpieData mean NdValence,Ce_MagpieData mean NfValence,Ce_MagpieData mean NValence,Ce_MagpieData mean NsUnfilled,Ce_MagpieData mean NpUnfilled,Ce_MagpieData mean NdUnfilled,Ce_MagpieData mean NfUnfilled,Ce_MagpieData mean NUnfilled,Ce_MagpieData mean GSvolume_pa,Ce_MagpieData mean GSbandgap,Ce_MagpieData mean GSmagmom,Ce_MagpieData mean SpaceGroupNumber
Cu0.425Pd0.425Ti0.15,Ti1O0.86,72,1423,35.175,60,79.4156,1645.1235,9.525,4.425,139.175,1.9735,0.725,0,8.8,0,9.525,0.425,0,1.2,1.625,13.3325,0,3.38E-06,220.35,15.52688172,63.34408602,33.13251828,1068.886022,9.548387097,3.075268817,116.5376344,2.418494624,2,1.849462366,1.075268817,0,4.924731183,0,0.924731183,4.301075269,0,5.225806452,13.18295699,0,1.21E-05,109.8494624
Ni0.5Pd0.5,Al2O3,112.075347,1523,37,61.5,82.5567,1778.025,10,4.5,131.5,2.055,1,0,9,0,10,0,0,1,1,12.365,0,0.29769735,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.49Pd0.491Ti0.019,Al2O3,103.8730998,1523,36.724,61.149,81.921459,1781.17155,9.886,4.491,132.049,2.04536,1.018,0,8.868,0,9.886,0,0,1.132,1.132,12.44922,0,0.291743831,224.411,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.492Pd0.492Ti0.016,Al2O3,98.26173166,1523,36.76,61.204,82.0016648,1780.6326,9.904,4.492,131.956,2.04676,1.016,0,8.888,0,9.904,0,0,1.112,1.112,12.4342,0,0.292934553,224.504,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.486Pd0.486Ti0.028,Al2O3,94.85789822,1523,36.58,60.982,81.5853884,1782.5883,9.832,4.486,132.298,2.04058,1.028,0,8.804,0,9.832,0,0,1.196,1.196,12.4861,0,0.289362455,224.132,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.471Pd0.471Ti0.058,Al2O3,97.02247191,1523,36.13,60.427,80.5446974,1787.47755,9.652,4.471,133.153,2.02513,1.058,0,8.594,0,9.652,0,0,1.406,1.406,12.61585,0,0.280432211,223.202,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.464Pd0.465Ti0.071,Al2O3,96.14342366,1523,35.944,60.187,80.1175946,1789.64625,9.574,4.465,133.531,2.01858,1.07,0,8.504,0,9.574,0,0,1.496,1.496,12.67412,0,0.276264741,222.799,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.453Pd0.453Ti0.094,Al2O3,81.18968936,1523,35.59,59.761,79.2958682,1793.34465,9.436,4.453,134.179,2.00659,1.094,0,8.342,0,9.436,0,0,1.658,1.658,12.77155,0,0.269715917,222.086,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.442Pd0.442Ti0.116,Al2O3,76.07072042,1523,35.26,59.354,78.5326948,1796.9301,9.304,4.442,134.806,1.99526,1.116,0,8.188,0,9.304,0,0,1.812,1.812,12.8667,0,0.263167071,221.404,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.434Pd0.435Ti0.131,Al2O3,69.28949108,1523,35.044,59.077,78.0362126,1799.42475,9.214,4.435,135.241,1.98768,1.13,0,8.084,0,9.214,0,0,1.916,1.916,12.93362,0,0.258404252,220.939,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.424Pd0.425Ti0.151,Al2O3,72.32319894,1523,34.744,58.707,77.3424186,1802.68425,9.094,4.425,135.811,1.97738,1.15,0,7.944,0,9.094,0,0,2.056,2.056,13.02012,0,0.252450755,220.319,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.412Pd0.412Ti0.176,Al2O3,68.31791143,1523,34.36,58.244,76.4513128,1806.7086,8.944,4.412,136.516,1.96436,1.176,0,7.768,0,8.944,0,0,2.232,2.232,13.1262,0,0.245306582,219.544,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.4Pd0.4Ti0.2,Al2O3,57.57766028,1523,34,57.8,75.61876,1810.62,8.8,4.4,137.2,1.952,1.2,0,7.6,0,8.8,0,0,2.4,2.4,13.23,0,0.238162387,218.8,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.384Pd0.385Ti0.231,Al2O3,50.46926636,1523,33.544,57.227,74.5672426,1815.72225,8.614,4.385,138.091,1.93618,1.23,0,7.384,0,8.614,0,0,2.616,2.616,13.36612,0,0.22863677,217.839,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.374Pd0.375Ti0.251,Al2O3,50.69398546,1523,33.244,56.857,73.8734486,1818.98175,8.494,4.375,138.661,1.92588,1.25,0,7.244,0,8.494,0,0,2.756,2.756,13.45262,0,0.222683274,217.219,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni,Al2O3,111,1773,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,2,10.32,0,0.5953947,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.95Cr0.05,Al2O3,98,1773,27.8,60.4,58.358535,1750.6,9.8,4,124.75,1.8975,1.95,0,7.85,0,9.8,0.05,0,2.15,2.2,10.3635,0,0.565624965,225.2,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.9Cr0.1,Al2O3,91,1773,27.6,59.8,58.02367,1773.2,9.6,4,125.5,1.885,1.9,0,7.7,0,9.6,0.1,0,2.3,2.4,10.407,0,0.53585523,225.4,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
