Metal,Ceramic,Testing temperature (K),Wetting angle
Cu0.752Ga0.159Ti0.089,Al2O3,1323,40
Cu0.815Ga0.173Ti0.012,Si1O2,1323,109
Cu0.807Ga0.171Ti0.022,Si1O2,1323,56
Cu0.799Ga0.169Ti0.032,Si1O2,1323,36
Cu0.791Ga0.168Ti0.041,Si1O2,1323,27
Cu0.782Ga0.166Ti0.052,Si1O2,1323,22
Cu0.766Ga0.163Ti0.071,Si1O2,1323,19
Cu0.75Ga0.159Ti0.091,Si1O2,1323,17
Sn,Al2O3,873,140.7282439
Sn,Al2O3,973,140.2029824
Sn,Al2O3,1023,139.0064545
Sn,Al2O3,1073,115.7168929
Sn,Al2O3,1123,114.7233474
Sn,Al2O3,1173,114.3654574
Sn,Al2O3,1223,115.6705987
Sn,Al2O3,1273,115.925217
Sn,Al2O3,1323,119.3153795
Sn,Al2O3,1373,122.4918763
Sn,Al2O3,1423,122.5452927
Sn,Al2O3,1473,122.595148
Sn,Al2O3,1573,121.2348097
Cu,Al2O3,1423,135
Cu0.9Al0.1,Al2O3,1423,113.3928571
Cu0.8Al0.2,Al2O3,1423,100
Cu0.7Al0.3,Al2O3,1423,90.17857143
Cu0.6Al0.4,Al2O3,1423,84.82142857
Cu0.9Ti0.1,Al2O3,1423,69.64285714
Cu0.8Ti0.2,Al2O3,1423,29.46428571
Cu0.7Ti0.3,Al2O3,1423,7.142857143
Cu0.6Ti0.4,Al2O3,1423,5.357142857
Ga,Ca1F2,1173,120
In,Ca1F2,1173,130
Ge,Ca1F2,1423,110
Cu,Ca1F2,1423,110
Al,Ca1F2,1423,90
In,Ca1F2,1423,120
Ga,Ca1F2,1423,88
Ge,Ca1F2,1523,128
Al,Ca1F2,1523,126
Cu,Ca1F2,1523,127
In,Ca1F2,1123,130
Sn,Ca1F2,1173,125
Au,Ca1F2,1373,114
Ge,Ca1F2,1273,115
In0.98Ti0.02,Ca1F2,1123,30
Sn0.98Ti0.02,Ca1F2,1173,51
Ga0.98Ti0.02,Ca1F2,1173,58
Au0.98Ti0.02,Ca1F2,1373,98
Ge0.98Ti0.02,Ca1F2,1273,98
Au0.95Ti0.05,Ca1F2,1373,97
Ge0.96Ti0.04,Ca1F2,1373,99
Ga0.99Ti0.01,Ca1F2,1173,80
